l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse
628.04,18.78,3.04,73.64,42.03,815.2631731,25230.68948,1705.758822,788.5076326,1508.38464,34.45007501,124.7849886,110.9292109,0.055989723,0.001938012
413.61,26.67,3.49,56.35,45.91,581.7358104,37700.46986,1667.158242,702.7203786,599.6732833,32.74549227,159.1097948,119.0107722,0.056065111,0.002955539
567.26,25.17,3.64,80,49.27,544.5985297,27887.87447,1459.726859,745.3457411,1888.562166,31.6783465,155.4219106,111.7708248,0.056280149,0.002573195
195.08,18.91,4.63,79.98,44.2,685.5458935,3557.757513,2044.242561,886.8386524,106.7858683,38.51289302,122.3210297,113.5772068,0.05671704,0.001893729
156.04,22.41,4.17,73.89,46.85,704.603856,4337.766196,2089.207535,906.6967856,200.4751401,36.2968984,138.8323836,116.2781016,0.056757115,0.002168891
402.61,21.54,3.67,83.62,46.71,614.3562036,63487.62905,1769.581002,810.3894689,866.1928709,34.67634642,134.8589251,110.1923066,0.056972095,0.001930507
482.19,16.56,2.28,91.67,41.29,1390.610731,6614.150796,1430.784966,882.2208147,80.25808349,34.81329393,109.2605456,107.5944171,0.056996685,0.001458957
632.66,22.06,3.14,77.64,46.57,703.2159005,15227.36769,1472.791165,780.7913145,796.9152166,30.95009569,137.5419427,108.6898899,0.057251412,0.002268419
340.3,14.76,4.16,99.99,41.39,749.9910922,10466.65598,2227.886497,889.4979434,127.9048297,39.98174641,101.7780839,108.2223305,0.057371524,0.002078091
468.27,23.97,2.26,94.17,49.99,2025.610623,1001.49809,284.1877063,835.8413534,44.28287636,118.5227701,144.5631345,107.2337271,0.057618007,0.00219688
562.19,23.52,3.03,80.84,48.73,707.0606075,13507.06479,1426.161775,790.3191628,732.2620354,29.72619344,143.6146398,108.2085832,0.057632388,0.002362508
591.18,27.14,2.17,82.52,52.35,1013.184645,4840.382652,842.9177518,787.5152562,46.95867356,29.95700185,161.1391581,108.0874389,0.057665303,0.002940769
332.81,24.15,3.74,75.89,49.14,575.7978259,33752.77609,1727.807543,810.4738581,1202.007243,33.63061901,145.9201894,110.6802796,0.057783594,0.002222265
534.35,28.07,3.9,86.46,54.77,476.4209915,13122.87162,1286.504946,759.1507205,459.6173873,30.70828364,167.4760774,108.8614814,0.057783848,0.002953409
289.03,26.82,3.14,58.84,48.35,667.8696969,40932.64627,1750.378164,777.411441,9047.481354,31.8566273,159.7327562,115.6092345,0.057803713,0.002976983
448.7,16.47,3.02,89.14,42.42,887.2859436,49498.00636,1993.144428,877.5744223,12337.53744,35.23843794,109.2538725,106.5373341,0.057872827,0.001503921
478.81,27.21,2.82,90.23,53.72,706.0752373,12034.85213,1250.303782,803.655206,304.0213712,28.31635564,160.1566331,107.7112841,0.057936576,0.002662945
400.65,15.01,4.9,74.27,41.05,634.3890415,6310.055743,2089.647635,840.0714529,88.29895652,42.19431327,104.9040073,108.6556367,0.057989277,0.003943242
528.7,21.75,2.13,71.48,46.05,1216.378873,5709.754082,1017.724058,825.398838,84.14142808,31.3158125,134.2662024,107.4682336,0.058245971,0.002187169
638.38,16.31,2.3,85.36,42.18,1247.154411,11900.77543,1458.949083,876.8123805,104.668683,36.8565599,108.9857351,104.7175462,0.058266999,0.001679412
151.68,25.53,2.92,78.63,51.49,868.2713525,21275.07957,2013.610483,984.6746276,670.6936748,34.39299315,151.6230128,112.9141034,0.058294268,0.002278912
230.54,21.94,4.04,96.53,50.06,615.3230132,9188.263809,1908.152243,908.1746092,154.387094,36.25151583,135.4347022,108.4354038,0.058427248,0.002186424
110.44,26.24,4.86,86.11,55.13,702.1081787,2141.018486,2018.008911,1035.524149,119.7150757,36.74865719,158.1715332,115.3621579,0.058462359,0.002823445
169.52,28.06,2.42,85.56,54.72,990.0033264,16695.77186,1682.266899,983.2890864,1054.97372,30.44508311,163.4059929,111.7214288,0.058462523,0.002649384
494.12,23.58,2.62,99.83,51.16,913.3816469,5083.723734,1244.652084,842.1614808,303.0260323,24.15931158,141.9334384,105.1449051,0.058466425,0.002183813
419.56,15.5,2.11,84.38,41.08,1489.118396,10470.46696,1436.697533,928.6988956,107.2669732,36.39466582,103.3627733,105.2060372,0.058509188,0.001375334
154.17,28.14,3.28,95.03,56.61,712.1020188,32916.31864,1968.741528,998.4859068,771.7603783,34.52642082,164.495869,111.4164256,0.058590543,0.002517743
514.95,18.19,4.33,95.76,46.85,580.9595301,77318.77195,1757.50147,840.5386805,2115.15788,39.63722136,120.1857683,104.2850334,0.058682701,0.002020142
317.34,29.16,4.27,72.88,54.66,458.1693986,5890.252778,1562.297848,782.3638993,3111.211474,32.72829171,170.6649114,111.2785754,0.058695393,0.002746318
537.4,22.16,2.88,77.51,48.1,788.21448,10541.78944,1482.333832,814.6998416,837.1489202,28.55761241,136.5418648,106.2313472,0.058751914,0.002201811
505.11,28.15,3.98,99.63,57.31,466.4580569,10738.53369,1253.49611,792.3139021,360.1074568,30.63655583,166.034856,105.7904111,0.058785757,0.002833884
117.2,28.49,4.26,96.18,58.53,717.8685489,2827.464423,1973.462517,1060.747433,45.5299296,38.48982767,167.9093954,113.4606486,0.058809945,0.002709213
116.85,13.34,4.03,96.49,42.33,975.0027685,10347.65464,2758.35877,1133.358998,378.5469905,42.37102849,94.95603734,109.1596256,0.058887987,0.001246092
634.33,15.51,2.71,98.76,42.99,1077.850968,13509.5752,1742.871095,891.5473037,723.4659457,33.17256423,105.1535231,102.9638467,0.058931437,0.001573199
659.49,15.48,3.57,82.24,42.71,764.0495348,9850.771111,1964.559951,855.3880362,26421.23763,37.99047495,106.9161433,103.9450557,0.058989825,0.00164202
449.67,28.08,3.03,52.51,48.57,636.8086812,52744.43262,1476.92536,718.8865006,5920.075827,29.66100451,166.5307015,114.1856386,0.059098702,0.003569549
339.72,16.57,4.09,65.79,42.3,700.2539115,9082.246535,2088.290076,860.9800741,280.1183206,37.97131429,110.7595655,107.6342641,0.059234332,0.002923047
659.29,21.18,3.84,68.17,47.02,575.4353918,21605.59448,1534.674349,779.9542874,1037.590329,34.09438678,135.0193162,106.045983,0.059236309,0.002319671
435.06,18.82,3.95,81.17,46.61,621.403347,61359.70911,1839.31728,848.6802883,848.0881864,37.14341263,122.4538119,105.032117,0.059302584,0.001630122
205.45,21.88,2.53,97.65,50.36,990.494832,30028.6509,1789.178166,999.4995685,1090.180597,32.80561783,133.6576758,106.4043691,0.05934884,0.001958614
104.46,29.03,2.09,86.1,57.49,1405.917671,13214.32617,1651.71367,1206.061301,156.1776705,36.02282857,167.89435,113.2535035,0.059491302,0.002959062
307.46,12,3.9,97.61,40.66,943.1913123,13329.56945,2546.205139,972.5852897,286.4828157,41.09975611,88.22073327,103.9807905,0.059590998,0.001512593
260.07,22.51,3.98,71.67,49.59,604.3416859,11299.30992,1812.414684,872.4354268,448.1460466,36.7023224,138.187842,107.3695954,0.059695247,0.002344994
549.51,28.12,2.63,70.3,53.6,753.1131872,8879.823646,1118.905235,777.6787095,221.0735311,27.66035122,164.9684534,106.7530591,0.059747187,0.003127169
468.27,24.01,4.65,56.99,48.26,474.3492652,19762.64592,1530.588406,744.9273654,1224.033759,36.36248181,147.8168541,109.1296788,0.059943183,0.002578668
107.96,20.32,2.04,69.86,46.87,1638.368588,13032.80097,1735.578915,1184.250831,127.3044313,39.41549962,126.4630098,111.1550643,0.059945195,0.002186409
533.27,18.08,2.84,96.31,47.02,917.8006052,13570.5564,1608.120385,890.1592537,414.102458,32.53074026,117.2229301,101.7388607,0.0599657,0.001798841
486.26,21.4,4.53,54.23,45.49,517.8305615,23117.11134,1637.827007,757.6739139,1298.515794,37.50154036,136.5593298,108.5680912,0.059972304,0.002387526
449.37,11.06,4.43,95.46,40.4,830.7126836,24990.57182,2548.655719,937.0135102,584.0866693,43.79718282,85.42205266,102.8088871,0.059985974,0.00269017
138.94,17.55,4.02,82.56,46.83,841.6720872,5341.402284,2364.099245,1058.823047,277.6654832,37.15810408,115.0748494,107.928181,0.060061502,0.001680735
503.19,23.05,4.56,62.54,49,476.8002989,64945.24257,1521.14459,767.0536019,5022.52652,36.41701016,144.5808891,106.8274301,0.060154006,0.002343666
513.28,26.68,2.77,91.98,56.31,741.9571681,7324.625109,1115.281556,835.9099868,236.2854592,26.97415772,158.4441148,102.9244105,0.060163938,0.002823506
698.5,26.8,3.98,79.98,55.49,509.9655519,978.0341037,1240.398022,767.7863103,360.2185509,21.1858517,160.4789539,103.6724737,0.060242156,0.003085719
250.03,29.73,3.1,92.17,59.63,634.6834123,94383.85559,1572.638178,913.6493231,38762.54897,30.29913683,171.3418402,106.3148935,0.060251652,0.002830281
208.28,29.37,3.55,63.25,54.25,655.8023329,5403.142071,1743.59712,856.4247157,143.6701128,31.92511472,170.4134033,112.1892739,0.06037771,0.003403313
655.4,22.91,4.83,82.58,52.73,417.1791075,819.7987155,1394.389406,787.9456754,1559.992279,34.18170739,143.6513905,102.8289066,0.060391007,0.002430224
664.04,23.96,3.38,88.18,53.88,623.3718145,6798.348806,1229.211078,815.8124231,344.3373249,29.36765435,148.2306635,101.6822522,0.060402258,0.002723998
282.17,20.36,3.92,90.01,50.45,624.8504987,21828.4003,1843.188864,921.3194976,692.5077296,37.4267806,127.1979147,103.126126,0.060422788,0.002232576
349.66,20.99,2.03,70.71,47.37,1292.906125,8143.162701,1179.517116,907.4283677,64.99721877,34.11415891,129.2818387,104.4212664,0.060430301,0.001918601
411.09,17.43,3.63,65.98,44.22,714.9711963,68635.59601,1981.230211,863.4947235,989.1893266,36.85250539,115.2835529,104.6308559,0.060439372,0.001772351
168.43,24,3.02,51.26,46.58,843.6748848,23459.35287,2073.779053,897.0451766,286.6876109,35.86230898,145.0379207,114.2069874,0.060442834,0.003124755
530.79,12.35,4.34,78.11,41.87,759.8711705,12520.55015,2269.497026,913.4010062,153.1860986,46.45223549,91.0232499,99.96820934,0.060682579,0.004055996
554.73,29.87,3.4,78.78,58.7,554.6825498,5088.975285,1124.034911,785.360724,306.0962731,26.62492274,174.557058,104.0331911,0.060804437,0.00351604
227.93,20.2,2.68,95.86,50.13,932.9223826,79875.61816,1894.761914,1007.983753,2888.584261,33.80365066,125.2806031,103.1931623,0.060841952,0.002214955
684.9,14.79,4.15,84.28,44.85,674.8919936,19917.2355,1957.275431,874.9052747,13905.24482,40.23803147,105.7956343,100.067343,0.0609954,0.001705826
319.06,28.07,2.77,79.41,56.75,734.7422738,17538.99156,1405.930182,877.7304892,296.187793,29.48269997,163.162698,104.7932356,0.061004737,0.002734452
588.07,18.36,4.06,79.21,47.86,598.5804868,60061.0629,1704.101649,847.5010406,1303.20996,37.35868572,120.6361905,101.2677626,0.061019783,0.00183687
513.83,20.59,4.67,89.74,52.09,495.516201,23628.95445,1537.577556,844.4617256,18793.17581,38.8637257,131.8249726,100.7394707,0.061058553,0.002335336
597.89,26.65,3.21,84.31,56.9,633.566151,5338.754417,1118.039599,815.8728732,274.5331742,26.86549224,159.2939259,101.649553,0.061117334,0.00308977
100.12,15.24,2.47,55.44,41.37,1576.834474,13520.56298,2344.950396,1202.760666,422.5817539,37.65725654,102.531307,110.3356613,0.061258612,0.00209397
226.06,11.8,2.4,92.41,40.77,1643.637063,14154.6621,2275.735193,1100.397444,842.4432728,31.89080893,85.02337783,101.4905907,0.06126774,0.001188998
270.28,23.31,4.99,97.45,55.88,519.9343732,2519.307526,1616.049086,906.2087223,78.81963862,36.45010544,143.0497555,103.1910498,0.06128321,0.004126116
353.75,20.88,3.9,82.87,51.19,591.5111567,37525.37842,1760.381758,891.1809117,2768.962767,34.80234331,129.9279236,101.9540603,0.061489561,0.00184882
300.5,17.84,2.76,63.73,44.63,958.239025,41595.05877,1966.279814,929.4255085,6900.6105,34.40891116,114.6907557,103.6499912,0.061495869,0.00164059
262.97,25.44,4.95,73.98,55.22,510.3463187,2067.995543,1602.873742,862.3344415,158.4281703,32.8356848,153.0514158,105.6544992,0.061679043,0.004431654
411.23,17.75,4.68,65.89,46.72,578.3484112,3632.727441,1811.811348,859.2837289,242.6259654,40.09551487,116.2506569,101.3291671,0.06168954,0.003807184
461.82,15.14,3.2,67.96,43.12,880.0689743,28463.34533,2100.737426,911.3534609,40894.6207,37.03187715,102.5895941,101.2194934,0.061708613,0.001600788
623.66,26.91,2.48,93.51,59.02,882.0693595,3794.363226,777.6104732,851.2484179,66.48024548,26.87341115,159.6612274,98.98356069,0.061868309,0.003223747
437.84,28.03,4.92,61.94,54.92,408.0063477,37478.83673,1359.699622,755.3921288,2764.181954,35.15820536,167.2892251,106.3381647,0.061869457,0.003010704
385.25,13.22,3.48,89.37,43.75,907.5257423,9401.414885,2392.381416,973.0998065,12440.92925,38.86295285,93.93586314,99.55015867,0.061879537,0.001308137
364.31,10.64,3.88,86.4,41.13,986.0637321,31775.86333,2719.248442,1002.004946,1097.638488,42.27148673,81.56194961,99.85853945,0.062007911,0.002073211
302.82,19.26,3.88,95.37,51.43,641.5007854,33380.36474,1877.012097,949.1985118,1292.415065,36.25887905,122.0501078,100.1671555,0.062033607,0.001533355
216.98,22.36,2.45,98.51,54.42,1018.575553,16775.9664,1628.044755,1044.502707,574.0048734,30.99037674,135.6397453,101.3133741,0.062110736,0.002138022
470.23,18.16,3.22,90.78,49.56,768.552367,48756.72735,1777.503157,918.0918724,3246.198121,34.23285331,117.7505329,98.78460528,0.062150525,0.001855475
621.5,15.69,4.56,56.86,43.53,620.0524339,13249.35974,1881.78899,833.4984213,3405.003301,41.17980586,110.403202,101.2054406,0.062253457,0.002358115
251.61,22.72,3.01,84.95,53.99,755.6842544,91176.00512,1789.072524,973.5789711,581128.0007,33.02898729,138.2711016,101.7414615,0.062272635,0.00211239
295.49,18.43,2.01,88.72,48.78,1460.576164,7743.039514,1277.24482,1015.184361,76.6654728,34.28239927,116.2686835,99.70373206,0.062341182,0.002816305
443.54,22.08,3.8,71.6,51.74,571.6508096,28440.97171,1608.088165,850.7815353,2547.77842,33.20015237,137.4744968,101.4403358,0.062355998,0.002370478
357.54,18.27,2.34,64.48,45.79,1178.657175,11336.88443,1485.464586,934.5994212,213.2111531,33.14844438,116.023424,101.2235996,0.062381912,0.001720061
607.53,15.2,2.89,53.54,41.29,988.3576997,38369.1259,1899.394913,873.7908223,605.3350123,37.44838948,104.9628292,101.4546212,0.062416019,0.001873317
