l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse,scale_max,scale_min
591.18,27.14,2.17,82.52,52.35,941.5243814937894,2157.4820765027825,1380.7845277704394,786.4891246020792,864.328829591936,12.779803393427464,161.13915855531917,108.08743950114778,0.05766530301709503,0.002940769162207657,1.6248233477420135,0.29278616799186524
581.9,28.77,4.29,70.57,46.62,499.57156889536526,869.1192371880871,1487.4762278748647,630.5015983109963,531.6665943980897,25.512671217320626,173.70497266641846,126.38895729887261,0.051618347172232876,0.006101313719646892,2.2920425184530084,0.516514605306111
607.99,18.7,2.17,84.22,51.73,1201.1645478387145,3676.3923709961414,1788.6800908790726,939.4390016653451,1019.9658583957598,15.39643619896685,120.56475619240076,94.62627752478086,0.0643124725480602,0.0022425729217411044,1.794359849659767,0.4271315468176708
108.1,24.09,2.43,70.85,44.25,1272.1337883068393,3652.7138919223516,3449.9358480438364,975.5524424155618,1270.7049185142578,27.320248427517253,144.88695736581886,125.54734689345091,0.05377826549905433,0.002323476625295096,2.301701570003695,0.5476999546517699
588.78,12.54,3.76,92.89,45.25,912.9793955094135,4507.127072828718,2489.8952302071893,961.5001548582684,1255.483830278481,32.37235124812343,91.43478212660561,95.85833121509962,0.06338717476940274,0.0015541448655587882,4.62967875925666,0.5298363833758042
351.51,27.31,2.25,61.07,45.13,1014.4915767660666,2065.974226763997,2363.082389842665,726.3995597162012,815.5669733890728,18.313863371156067,159.78624017930494,121.77351003445793,0.054107285616473655,0.002397005922589921,2.0032489099716653,0.3801907228296358
361.05,22.51,3.33,79.46,54.36,686.1159332926005,2267.634121809807,1828.252900463525,913.5839459517323,1057.1803323703107,24.541950587867383,137.39133903626225,99.26130927334744,0.0633983279683159,0.002329849007853093,3.58877597044456,0.5953023476162058
649.74,16.27,3.2,85.46,52.64,854.5584806052565,3633.473559450405,1964.4673881520257,961.8565708719849,1385.5938711312463,25.653162683404048,109.77977011510731,91.08281119369458,0.06664942114523932,0.00207050162799656,3.867399089552889,0.5575740009585689
251.61,22.72,3.01,84.95,53.99,807.6625654960328,2568.246531486618,2159.1493728026485,971.3829560089163,1074.2480769921901,24.4891729945953,138.2711017996443,101.74146174073603,0.062272634986262454,0.0021123898680941067,3.244965318689567,0.5967475399086852
513.28,26.68,2.77,91.98,56.31,718.9241827559317,1959.0331719576254,1470.0924305033238,835.5713588624928,1008.6910002758394,18.03007924950963,158.4441152002393,102.9244109888168,0.060163938465693186,0.002823506158665717,2.3367016995524117,0.43688532760997223
100.12,15.24,2.47,55.44,41.37,1543.52916935065,6246.80680216607,4116.367555040211,1194.0710006598406,1531.93261174886,30.26920004197636,102.53130702007952,110.335661286879,0.061258611691942196,0.0020939698459910318,2.76967014341711,0.5811108331713014
231.39,18.02,2.27,53.36,56.52,1273.9460627102171,4701.591443440546,2788.246785078666,1166.18650594289,1194.5443148524305,20.85756588319519,114.86422419893827,87.14597046470166,0.07632628365828087,0.0028372030170540274,2.207143328631686,0.6151984633981286
528.7,21.75,2.13,71.48,46.05,1129.8054578431647,2990.196335448491,2005.912586188449,821.7449316589964,954.1664417656043,15.570685670873162,134.26620234581026,107.46823361740074,0.05824597087029185,0.002187168993797642,1.9624777953852786,0.38779831231603146
482.19,16.56,2.28,91.67,41.29,1284.394535439505,4184.223558861137,2766.23448314369,876.7031290315646,1103.0276892010072,20.80965973554093,109.26054559743139,107.59441705479128,0.056996684534036245,0.0014589567734946318,2.160637245983227,0.542400686810474
637.07,15.4,3.37,60.6,58.02,832.74762941789,4126.927318098719,1928.9357955106125,1031.8527411368127,1549.9875658104074,26.946419029034143,104.94033843544325,81.69653602935854,0.07676214837155712,0.0024567808938569455,4.593205518600894,0.5817012225391359
664.82,13.51,4.19,74.04,58.64,747.267536067701,3982.82712388553,1984.9381561159173,1046.822235173144,1285.2616055572944,32.39088170676374,97.43542357345433,81.9126151149405,0.0749391498829405,0.002093392331077234,4.989792028873751,0.5612428457945224
132.03,15.18,4.37,98.44,49.82,1753.852762808561,1201.155355876167,2185.7909560534845,1172.142176563256,75.47723676977748,18.013060351029356,103.90500364512084,101.52690647553179,0.0631955954628638,0.0035749455359655033,1.6291457217890435,0.325920679557423
383.08,17.83,2.51,78.01,53.76,1086.4645181368915,3917.7444990907284,2331.0849071691164,1024.5019936077065,1178.9602491946666,21.028642085594765,114.99949550654402,91.81472165070987,0.0675695081918262,0.0018983811260649484,2.4139456274565303,0.574842091536991
519.15,16.2,2.65,79.93,54.22,1067.7177442371528,4235.541603903963,2190.5771297116203,1021.9198884888875,1276.469421718749,21.905641514928803,107.88061770325842,88.65654325268332,0.06907407893380908,0.001992546763583517,2.6942862520338164,0.5637266224108244
657.74,14.21,4.68,76.91,53.91,992.3402672412102,1419.5311822933168,1641.8784756705895,975.3260327431374,96.18046874596891,23.696546494338996,100.7043341900221,87.95288103046651,0.06984771594522705,0.0031957106256917467,1.3771396691798996,0.4358112153061204
641.09,18.41,4.38,98.12,44.05,635.0592788017874,1596.1397835809248,1782.588982418445,787.0938065635104,576.1244462654794,28.77720163838096,121.6476178801909,109.1502300624688,0.056012901679679435,0.00401613597177753,2.5318144391148945,0.5526378679935412
555.39,10.06,2.94,99.27,57.69,1392.186541885249,8646.33399053881,3075.6865009369535,1198.36600940606,1762.2079709998336,29.542085708030474,79.0884541928653,79.80969588955914,0.0753279450016826,0.0015822799492590232,4.097274563002544,0.528299910226369
668.72,18.59,2.28,95.79,40.81,1174.554479832573,3249.500801116045,2259.532797293455,796.352210875255,1000.8327026987802,18.565464510795103,121.76387857315451,113.03480033546944,0.054025248497644986,0.001787745762776915,1.9277650652178437,0.4601052738911291
