d_tsv,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse,scale_max,scale_min
5.66,98.37,44.85,1423.1214526641675,851.3822584026765,1359.1118027279238,1011.9165204718365,94.3739631876163,17.756457822620405,894.9853908811443,207.73755144914395,0.030575946389168347,0.006353466721433024,1.8128152896049148,0.33877289338366207
11.47,52.28,49.0,505.69615594087054,178.6437261081077,1262.9357820495877,863.2932000752728,161.07875163765797,27.33075060413174,1486.6639732532976,303.3631571398335,0.023425102641145792,0.022252555377049735,1.4651161310758334,0.5388979770124656
7.66,81.53,52.47,981.4363566331947,479.9377115144732,1274.2706225171742,1030.6507183073272,97.73467413308488,17.19742759168213,1127.0387283234356,215.3036920259665,0.02969798233580275,0.007325289609832273,1.8073827774759559,0.4638730330743809
13.18,86.17,57.06,426.89719250558994,161.61536465429816,773.0463935998907,818.1284836154837,106.44530898793194,17.935657297207552,1610.2590403089087,282.93215753134865,0.023872056207584216,0.014699584526965223,1.519959901253806,0.4432473882393361
13.52,59.64,40.6,500.1846835891964,76.42856409844289,1115.5369629410964,554.6860291092522,96.22229434075358,25.555144769554538,1646.5141014089252,460.3136669749398,0.018086294177299466,0.021603735332749122,1.4315366940119034,0.3501170457162748
13.99,66.49,53.81,461.9311209400277,169.8676362996236,871.4907831636851,782.3996139531982,116.87267011108415,20.016426416760606,1709.501659850014,327.82783765578654,0.022101358379108434,0.01857083796698505,1.5056553454046975,0.44181062785309333
8.49,54.72,48.89,629.3085198822864,475.16528513661234,1383.0064987078856,1015.6507911849033,205.12239802959348,31.923661636008553,1278.8741850890015,249.6405762320682,0.027193781774337757,0.00837681556011877,1.389845622374165,0.5250278426965833
11.83,55.51,46.13,493.400384684875,150.31018938917737,1153.6294902412508,772.5486014559917,139.44245745726954,25.788891688793274,1501.0454357228145,329.28070774455904,0.021967353771506916,0.01922310461721985,1.3678591894598953,0.5310454077142231
8.76,64.74,54.56,852.2272687285924,415.45018453287474,1205.1012249032603,1059.514683336689,102.87397067807768,18.383999759121263,1268.13933214398,228.85478356393745,0.028722482674423382,0.008320082187411789,1.735926622441537,0.45452498161168653
13.59,56.51,54.43,490.8536464811193,189.54241047644112,918.8820890277236,851.5993030289685,120.36551931869631,20.73134316119176,1673.066835631088,317.23029321733196,0.022773259100431213,0.017158083871852123,1.5045495487257723,0.4517642264572942
13.1,97.73,47.63,425.281449910259,155.156958928501,799.7881336991452,645.7873050654404,109.93109001562118,18.640564612128596,1589.9137516926526,340.5713994667584,0.02088710848995954,0.017084207289788322,1.4958216026138513,0.4474026517302304
