l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse
266.13,18.31,4.91,97.1,43.03,847.1242241,1098.915252,1935.273216,831.9910028,123.4239397,25.54762321,119.1775796,114.225035,0.055246738,0.002230524
280.08,17.09,3.4,56.21,44.84,849.1970783,3214.647342,2437.86589,931.4439712,1127.851134,29.32429603,111.8410597,102.1398584,0.063604358,0.001963754
628.04,18.78,3.04,73.64,42.03,850.1288209,2596.179353,2093.521029,786.915544,1073.215221,24.72486694,124.7849886,110.9292109,0.055989723,0.001938012
682.5,25.86,2.13,64.79,55.64,850.2153267,3373.820817,916.6288412,838.3849353,2382.920521,15.00038634,155.041783,97.78503019,0.064571968,0.003569816
641.56,13.25,4.66,84.55,51.12,853.984102,2174.760344,1965.170163,971.2160415,182.4743403,29.47117314,96.13600021,90.23989024,0.067659502,0.001690992
649.74,16.27,3.2,85.46,52.64,854.5584717,3633.473424,1964.467383,961.8565708,1385.594209,25.65316295,109.7797701,91.08281121,0.066649421,0.002070502
464.92,27.77,2.11,56.26,58.38,859.209019,3212.242651,1122.076183,873.5708009,2213.50621,15.16178397,162.5252974,96.10071629,0.068518755,0.003925834
329.32,16.89,3.27,74.75,52.04,859.2186862,3571.763597,2305.570265,1017.202358,1235.047458,27.57651918,110.5222931,93.48066144,0.067115725,0.001851517
145.71,17.64,3.6,84.54,53.72,864.0167002,3389.417431,2567.065635,1187.796433,1073.219926,32.04947333,114.9628376,98.31988383,0.065695491,0.001838115
460.31,17.78,3.08,60.17,48.93,865.6617751,3182.047903,2167.705432,922.1352496,1183.019773,25.25799903,116.3434056,95.76299494,0.066276995,0.002141525
353.74,19.17,3.04,93.83,43.21,866.9859425,2836.48263,2362.965614,844.5637121,1098.83222,26.00879851,121.6636356,111.6221281,0.055776445,0.001578951
553.26,27.4,2.23,64.48,47.2,867.2959273,2347.010867,1593.65106,719.9312924,1405.235767,17.30338558,161.739226,116.476715,0.055473604,0.002847361
223.91,24.26,2.76,84.47,58.69,870.1245245,2529.171761,2183.246697,1043.132216,949.7337615,22.4284219,144.4210863,98.11145036,0.064504574,0.002628429
520.85,20.32,2.74,73.13,55.28,871.2401021,2948.431303,1798.650282,942.7463503,1142.59333,20.19779101,127.2204315,92.45547366,0.067204847,0.002423901
168.43,24,3.02,51.26,46.58,874.7455434,2457.779065,2545.059715,893.6967402,1072.574664,27.57829849,145.0379215,114.2069882,0.060442835,0.003124755
440.66,12.68,3.87,71.89,59.19,878.0510119,4703.812709,2355.198766,1131.918125,1245.362098,32.34767343,92.44801726,80.97250984,0.076868101,0.001847115
472.43,11.38,4.47,65.77,54.5,879.4179015,3628.411087,2404.541515,1087.425665,620.5339317,34.08996069,86.05380628,82.58864601,0.074644002,0.003729063
529.25,17.9,2.94,99.17,52.36,881.934789,3405.232975,2005.09031,951.9944906,1267.792326,23.29862525,115.9782625,94.53323367,0.064220692,0.001944214
165.68,22.6,2.99,65.32,52.9,891.7249208,2882.331831,2506.308196,1048.823198,1149.357,26.87964325,137.5432019,103.3271377,0.064220917,0.002462869
591.4,25.48,2.13,56.49,54.47,897.9143369,3191.777272,1131.155111,844.642877,1910.307915,14.90903122,152.3947905,97.3047969,0.066498298,0.00355625
262.13,20.08,2.93,51.68,48.35,898.1972846,2977.11755,2402.77055,940.0478171,1135.556042,25.22580792,126.0066435,100.5057791,0.066119471,0.002477825
